11253,Ganesh,70
18157,Krupha,60
14756,Anitha,75
14756,ANitha1,75
14757,ANitha1,75
14758,ANitha1,75
14759,ANitha1,75
14760,ANitha1,75
14761,ANitha1,75
14762,ANitha1,75
14763,ANitha1,75
14764,ANitha1,75
14765,ANitha1,75
14766,ANitha1,75
14767,ANitha1,75
14768,ANitha1,75
14769,ANitha1,75
14770,ANitha1,75
14771,ANitha1,75
14772,ANitha1,75
14773,ANitha1,75
14774,ANitha1,75
14775,ANitha1,75
14776,ANitha1,75
14777,ANitha1,75
14778,ANitha1,75
14779,ANitha1,75
14780,ANitha1,75
14781,ANitha1,75
14782,ANitha1,75
14783,ANitha1,75